"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"Vondelparkbuurt Midden";"Amsterdam";"Buurt";"BU03632201";"3";"925";"445";"480";"150";"85";"240";"260";"200";"565";"230";"90";"55";"215";"150";"30";"10";"25";"10";"75";".";".";".";".";"490";"300";"90";"110";"1.7";"10199";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9";"9";"0";".";".";"1";"9447"
"Zuidas";"Amsterdam";"Wijk";"WK036323";"3";"2255";"1235";"1015";"190";"660";"1100";"260";"50";"1725";"480";"55";"5";"580";"855";"20";"35";"75";"40";"685";".";".";".";".";"1735";"1430";"165";"150";"1.3";"1066";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"217";"212";"5";".";".";"1";"3087"
"Zuidas Noord";"Amsterdam";"Buurt";"BU03632300";"3";"145";"90";"50";"5";"10";"115";"15";"0";"120";"25";"0";"0";"45";"95";"0";"0";"0";"0";"90";".";".";".";".";"125";"115";"10";"5";"1.1";"181";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"83";"80";"3";".";".";"1";"3284"
"RAI";"Amsterdam";"Buurt";"BU03632301";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"0";"0";"0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"37";"36";"1";".";".";"1";"4915"
"VU-kwartier";"Amsterdam";"Buurt";"BU03632302";"3";"145";"75";"65";"20";"15";"90";"25";"10";"110";"40";"5";"0";"40";"60";"0";"0";"5";"5";"55";".";".";".";".";"95";"75";"20";"10";"1.5";"326";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"46";"45";"1";".";".";"2";"2005"
"Zuidas Zuid";"Amsterdam";"Buurt";"BU03632303";"3";"1015";"630";"385";"140";"50";"600";"190";"40";"640";"340";"40";"5";"350";"440";"5";"15";"20";"15";"385";".";".";".";".";"655";"440";"105";"115";"1.6";"4700";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"22";"22";"0";".";".";"1";"3154"
"Vivaldi";"Amsterdam";"Buurt";"BU03632304";"3";"945";"435";"510";"25";"585";"300";"30";"5";"860";"80";"15";"0";"145";"260";"15";"20";"55";"25";"155";".";".";".";".";"855";"800";"35";"25";"1.1";"3260";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"29";"29";"0";".";".";"1";"2956"
"Oude Pijp";"Amsterdam";"Wijk";"WK036324";"3";"14850";"7495";"7355";"1375";"2065";"7085";"3175";"1160";"11360";"2325";"975";"200";"3445";"2580";"400";"135";"480";"225";"1335";".";".";".";".";"9965";"6660";"2055";"1260";"1.5";"23402";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"68";"63";"5";".";".";"1";"10326"
"Hemonybuurt";"Amsterdam";"Buurt";"BU03632400";"3";"2595";"1330";"1265";"325";"345";"1175";"570";"190";"1950";"465";"155";"35";"580";"350";"50";"25";"65";"20";"195";".";".";".";".";"1630";"1015";"340";"285";"1.6";"22208";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"14";"12";"2";".";".";"1";"10599"
"Gerard Doubuurt";"Amsterdam";"Buurt";"BU03632401";"3";"1990";"1000";"985";"175";"260";"935";"450";"170";"1475";"325";"165";"35";"485";"415";"100";"25";"55";"30";"205";".";".";".";".";"1340";"900";"275";"175";"1.5";"20085";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"11";"10";"1";".";".";"1";"10100"
"Frans Halsbuurt";"Amsterdam";"Buurt";"BU03632402";"3";"2575";"1275";"1300";"250";"320";"1260";"555";"195";"1985";"405";"150";"40";"675";"395";"45";"15";"65";"35";"235";".";".";".";".";"1720";"1135";"385";"210";"1.5";"23030";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"1";"9628"
"Hercules Seghersbuurt";"Amsterdam";"Buurt";"BU03632403";"3";"2580";"1320";"1260";"215";"360";"1270";"545";"200";"2010";"380";"175";"25";"540";"590";"115";"30";"120";"75";"255";".";".";".";".";"1775";"1235";"340";"205";"1.5";"32306";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"8";"0";".";".";"1";"9941"
"Sarphatiparkbuurt";"Amsterdam";"Buurt";"BU03632404";"3";"5105";"2560";"2540";"410";"780";"2450";"1065";"410";"3950";"755";"340";"70";"1165";"840";"95";"45";"180";"70";"455";".";".";".";".";"3495";"2380";"725";"395";"1.5";"22514";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"23";"23";"0";".";".";"1";"10833"
"Nieuwe Pijp";"Amsterdam";"Wijk";"WK036325";"3";"12400";"5955";"6445";"1235";"1370";"5780";"2660";"1360";"9105";"2080";"905";"320";"2550";"2555";"565";"115";"570";"265";"1045";".";".";".";".";"7995";"5150";"1670";"1180";"1.5";"24140";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"54";"51";"3";".";".";"1";"10597"
"Willibrordusbuurt";"Amsterdam";"Buurt";"BU03632500";"3";"2580";"1215";"1365";"205";"315";"1165";"545";"360";"1835";"445";"220";"90";"470";"580";"125";"25";"125";"60";"245";".";".";".";".";"1760";"1200";"360";"210";"1.5";"24123";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"2";".";".";"1";"11212"
"Van der Helstpleinbuurt";"Amsterdam";"Buurt";"BU03632501";"3";"3835";"1880";"1955";"445";"415";"1890";"795";"305";"2895";"635";"265";"50";"845";"720";"120";"35";"165";"80";"320";".";".";".";".";"2500";"1620";"505";"380";"1.5";"28172";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"14";"14";"0";".";".";"1";"11478"
"Lizzy Ansinghbuurt";"Amsterdam";"Buurt";"BU03632502";"3";"2435";"1140";"1290";"275";"240";"1030";"585";"310";"1760";"400";"190";"95";"515";"600";"175";"25";"145";"45";"215";".";".";".";".";"1450";"910";"270";"280";"1.6";"19687";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"13";"12";"0";".";".";"1";"10221"
"Cornelis Troostbuurt";"Amsterdam";"Buurt";"BU03632503";"3";"3540";"1710";"1825";"320";"405";"1695";"735";"395";"2620";"605";"235";"90";"725";"660";"150";"30";"140";"80";"265";".";".";".";".";"2280";"1430";"540";"315";"1.5";"24164";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"15";"1";".";".";"1";"9393"
"Zuid Pijp";"Amsterdam";"Wijk";"WK036326";"3";"8275";"3925";"4350";"990";"1035";"2805";"2335";"1120";"5485";"1650";"925";"230";"1435";"2760";"850";"95";"580";"325";"915";".";".";".";".";"4895";"2865";"940";"1100";"1.7";"23451";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"39";"35";"4";".";".";"1";"10452"
"Diamantbuurt";"Amsterdam";"Buurt";"BU03632600";"3";"3155";"1525";"1630";"410";"425";"1035";"865";"425";"2125";"640";"315";"85";"545";"1145";"365";"45";"215";"115";"410";".";".";".";".";"1835";"1090";"330";"425";"1.7";"22926";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"14";"3";".";".";"1";"9808"
"Burgemeester Tellegenbuurt Oost";"Amsterdam";"Buurt";"BU03632601";"3";"2845";"1315";"1525";"335";"375";"1000";"785";"355";"1885";"580";"310";"75";"475";"920";"280";"30";"215";"115";"290";".";".";".";".";"1660";"945";"340";"385";"1.7";"24252";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"12";"0";".";".";"1";"10839"
"Burgemeester Tellegenbuurt West";"Amsterdam";"Buurt";"BU03632602";"3";"2270";"1080";"1190";"245";"235";"770";"685";"340";"1475";"435";"300";"70";"415";"695";"205";"25";"155";"95";"220";".";".";".";".";"1395";"835";"270";"295";"1.6";"23230";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"10";"10";"0";".";".";"1";"10837"
"Weesperzijde";"Amsterdam";"Wijk";"WK036327";"3";"5205";"2625";"2580";"655";"680";"2300";"1145";"435";"3835";"1000";"315";"65";"1120";"945";"210";"50";"190";"65";"440";".";".";".";".";"3175";"1940";"700";"545";"1.6";"14089";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"45";"37";"8";".";".";"1";"9373"
"Swammerdambuurt";"Amsterdam";"Buurt";"BU03632700";"3";"1885";"970";"915";"255";"200";"890";"420";"130";"1415";"355";"100";"20";"385";"245";"40";"15";"50";"10";"125";".";".";".";".";"1125";"665";"270";"200";"1.7";"16294";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"14";"12";"3";".";".";"1";"9787"
"Weesperzijde Midden/Zuid";"Amsterdam";"Buurt";"BU03632701";"3";"2940";"1470";"1465";"395";"285";"1245";"715";"305";"2060";"630";"215";"45";"590";"605";"145";"30";"130";"50";"255";".";".";".";".";"1740";"1025";"390";"335";"1.7";"15954";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"24";"18";"5";".";".";"1";"9126"
"Parooldriehoek";"Amsterdam";"Buurt";"BU03632702";"3";"375";"180";"195";"10";"195";"165";"10";"5";"365";"15";"5";"0";"145";"100";"25";"5";"10";"5";"60";".";".";".";".";"305";"255";"45";"10";"1.2";"5448";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"7";"7";"0";".";".";"1";"9000"
"Oosterparkbuurt";"Amsterdam";"Wijk";"WK036328";"3";"10940";"5485";"5455";"1315";"1355";"4400";"2800";"1075";"7615";"2155";"955";"225";"1795";"3775";"1090";"110";"880";"545";"1155";".";".";".";".";"6525";"3965";"1305";"1260";"1.7";"15149";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"75";"72";"3";".";".";"1";"8205"
"Oosterparkbuurt Noordwest";"Amsterdam";"Buurt";"BU03632800";"3";"3950";"1940";"2010";"395";"565";"1660";"960";"380";"2810";"750";"325";"70";"700";"1250";"305";"50";"285";"170";"445";".";".";".";".";"2475";"1575";"490";"415";"1.6";"18558";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"22";"21";"1";".";".";"1";"7985"
"Oosterpark";"Amsterdam";"Buurt";"BU03632801";"3";"115";"60";"55";"0";"5";"60";"45";"10";"100";"10";"15";"5";"20";"25";"0";"0";"10";"0";"15";".";".";".";".";"100";"90";"15";"5";"1.2";"518";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"25";"23";"2";".";".";"1";"7864"
"Oosterparkbuurt Zuidoost";"Amsterdam";"Buurt";"BU03632802";"3";"3725";"1870";"1850";"510";"440";"1385";"990";"400";"2535";"800";"295";"100";"650";"1050";"345";"30";"235";"150";"295";".";".";".";".";"2110";"1210";"455";"455";"1.7";"23600";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"16";"16";"0";".";".";"1";"8219"
"Oosterparkbuurt Zuidwest";"Amsterdam";"Buurt";"BU03632803";"3";"3145";"1610";"1535";"415";"350";"1290";"810";"285";"2175";"600";"325";"55";"430";"1455";"440";"35";"350";"225";"410";".";".";".";".";"1835";"1100";"355";"390";"1.7";"25821";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"12";"0";".";".";"1";"8488"
"Dapperbuurt";"Amsterdam";"Wijk";"WK036329";"3";"9245";"4575";"4670";"1130";"1185";"3380";"2445";"1110";"6095";"1955";"940";"270";"1355";"3645";"1135";"120";"805";"650";"945";".";".";".";".";"5360";"3205";"1055";"1110";"1.7";"15577";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"61";"59";"2";".";".";"1";"8404"
"Dapperbuurt Noord";"Amsterdam";"Buurt";"BU03632900";"3";"4180";"2050";"2125";"485";"495";"1525";"1120";"560";"2715";"890";"425";"155";"640";"1685";"520";"40";"375";"335";"425";".";".";".";".";"2410";"1430";"475";"510";"1.7";"21200";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21";"20";"1";".";".";"1";"8279"
"Dapperbuurt Zuid";"Amsterdam";"Buurt";"BU03632901";"3";"3680";"1835";"1845";"465";"490";"1400";"950";"385";"2510";"730";"375";"75";"520";"1470";"490";"55";"300";"260";"365";".";".";".";".";"2195";"1375";"395";"430";"1.7";"21145";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"17";"17";"0";".";".";"1";"8511"
"Oostpoort";"Amsterdam";"Buurt";"BU03632902";"3";"1385";"685";"695";"185";"205";"455";"380";"165";"875";"335";"145";"40";"195";"490";"125";"30";"130";"60";"155";".";".";".";".";"755";"400";"185";"175";"1.8";"6228";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"23";"22";"1";".";".";"1";"8501"
"Transvaalbuurt";"Amsterdam";"Wijk";"WK036330";"3";"9420";"4625";"4790";"1330";"1510";"3510";"2215";"860";"6390";"1950";"870";"220";"1330";"4160";"1600";"110";"805";"670";"980";".";".";".";".";"5185";"2920";"1005";"1270";"1.8";"25514";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"38";"37";"1";".";".";"1";"7625"
"Transvaalbuurt West";"Amsterdam";"Buurt";"BU03633000";"3";"4105";"2005";"2095";"525";"615";"1500";"1045";"425";"2725";"835";"435";"115";"560";"1850";"690";"40";"400";"285";"440";".";".";".";".";"2315";"1330";"455";"540";"1.8";"23413";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"18";"0";".";".";"1";"7843"
"Transvaalbuurt Oost";"Amsterdam";"Buurt";"BU03633001";"3";"5315";"2620";"2695";"805";"895";"2015";"1170";"435";"3665";"1120";"435";"105";"770";"2310";"910";"70";"405";"385";"545";".";".";".";".";"2865";"1590";"550";"735";"1.8";"27414";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"20";"19";"1";".";".";"1";"7446"
"Indische Buurt West";"Amsterdam";"Wijk";"WK036331";"3";"12560";"6315";"6240";"1740";"1680";"5495";"2615";"1025";"8590";"2725";"1025";"230";"1950";"5855";"2295";"140";"985";"990";"1450";".";".";".";".";"7030";"3985";"1510";"1540";"1.8";"26806";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"48";"47";"1";".";".";"1";"7950"
"Noordwestkwadrant Indische buurt Noord";"Amsterdam";"Buurt";"BU03633100";"3";"3935";"2045";"1885";"480";"475";"1990";"770";"230";"2840";"780";"270";"50";"775";"1340";"435";"45";"220";"180";"465";".";".";".";".";"2405";"1440";"540";"430";"1.6";"23853";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"17";"1";".";".";"1";"7980"
"Noordwestkwadrant Indische buurt Zuid";"Amsterdam";"Buurt";"BU03633101";"3";"4480";"2195";"2280";"575";"650";"2115";"830";"320";"3270";"815";"330";"70";"735";"1855";"695";"55";"320";"315";"475";".";".";".";".";"2605";"1535";"590";"485";"1.7";"30770";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"15";"15";"0";".";".";"1";"8066"
